singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Katy Perry,If You Can Afford Me,0.617,0.887,-3.191,0.0943,0.0109,0.0,0.228,0.855,149.97
Gazapizm,Efkar,0.687,0.884,-8.525,0.0934,0.0298,1.87e-05,0.168,0.355,101.999
Nuri Serinlendirici,Esq Delisi,0.703,0.899,-5.76,0.0842,0.162,1.36e-06,0.104,0.86,129.976
Hiss,Busan,0.784,0.658,-4.886,0.135,0.223,4.62e-06,0.225,0.215,164.986
Alan Walker,Sorry,0.542,0.561,-7.029,0.0485,0.437,0.0704,0.135,0.183,175.998
Maroon 5,Sad,0.781,0.259,-9.204,0.0323,0.795,0.0,0.0993,0.331,111.9
Jacob's Piano,Levitate,0.401,0.0315,-22.059,0.0409,0.988,0.946,0.0957,0.131,120.521
Mark Eliyahu,Night Train,0.359,0.635,-4.186,0.0818,0.481,0.32,0.136,0.274,41.606
Billy Esteban,Bay Nikola,0.723,0.653,-7.621,0.0431,0.0197,0.0204,0.104,0.733,113.013
Sam Smith,To Die For,0.597,0.656,-5.109,0.0388,0.642,0.0,0.102,0.321,102.057
Katy Perry,Lost,0.382,0.577,-5.37,0.0289,0.254,1.77e-06,0.168,0.186,179.932
Mustafa Ceceli,Aman,0.654,0.744,-5.479,0.0329,0.673,0.0,0.146,0.547,118.979
Gazapizm,Olur Mu,0.579,0.736,-7.786,0.0449,0.308,2.26e-05,0.283,0.156,139.788
Maroon 5,Denim Jacket,0.781,0.628,-5.34,0.0668,0.161,0.0,0.0917,0.288,117.992
Post Malone,Zack and Codeine,0.738,0.824,-5.165,0.0437,0.15,0.0,0.132,0.386,138.039
Charlie Puth,Loser,0.698,0.623,-7.845,0.037,0.623,0.0856,0.179,0.625,102.002
Evgeny Grinko,Cold Morning,0.334,0.184,-23.508,0.052,0.985,0.947,0.121,0.0844,117.3
Post Malone,Too Young,0.602,0.635,-6.526,0.052,0.271,3.2e-05,0.0829,0.225,123.05
Jacob's Piano,Monday,0.385,0.0729,-22.983,0.0426,0.981,0.938,0.0869,0.0549,114.885
Billy Esteban,Namaste,0.48,0.221,-16.947,0.0344,0.99,0.936,0.786,0.211,120.119
Katy Perry,Champagne Problems,0.711,0.674,-6.114,0.106,0.0185,0.0,0.184,0.774,108.883
Mark Eliyahu,Gulbahar,0.603,0.422,-8.544,0.0312,0.821,0.137,0.0997,0.357,138.084
Jacob's Piano,Kiss the Rain,0.559,0.0803,-22.077,0.0506,0.981,0.902,0.106,0.178,132.96
Billy Esteban,The Walk Of The Sultan,0.799,0.727,-7.066,0.114,0.401,0.871,0.113,0.958,136.013
Mark Eliyahu,Journey,0.384,0.267,-10.422,0.0668,0.931,0.0504,0.123,0.339,81.467
Rihanna,No Love Allowed,0.583,0.482,-9.164,0.0987,0.362,4.14e-05,0.0938,0.645,90.483
Billy Esteban,Ederlezi,0.634,0.812,-7.18,0.0299,0.0413,0.835,0.177,0.418,120.027
Beyonce,Green Light,0.796,0.572,-7.019,0.0634,0.0682,7.82e-06,0.135,0.726,107.045
Billie Eilish,OverHeated,0.777,0.522,-12.496,0.0535,0.527,0.838,0.0968,0.182,115.008
