singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Maroon 5,Beautiful Goodbye,0.662,0.578,-2.637,0.0343,0.002,2.44e-06,0.104,0.404,168.039
Post Malone,Patient,0.743,0.662,-6.108,0.179,0.565,0.0,0.128,0.552,89.975
Katy Perry,I Kissed A Girl,0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996
Evgeny Grinko,Someone Who Forgot His Watch,0.243,0.0674,-16.272,0.0403,0.967,0.864,0.0762,0.0544,112.039
Billy Esteban,Rumelia,0.604,0.887,-4.134,0.0279,0.028,0.749,0.301,0.742,120.035
Maroon 5,Infatuation,0.718,0.557,-3.81,0.0322,0.142,0.0,0.0609,0.544,144.023
Beyonce,Start Over,0.474,0.797,-4.541,0.192,0.193,6.2e-06,0.322,0.399,149.965
Ava Max,Belladonna,0.516,0.683,-4.849,0.0366,0.0383,5.57e-05,0.102,0.255,136.992
Katy Perry,Not Like Movies,0.402,0.479,-7.75,0.0916,0.881,2.75e-06,0.111,0.257,183.013
Sam Smith,Dancing With A Stranger,0.741,0.52,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998
Post Malone,Rich & Sad,0.599,0.571,-4.998,0.0665,0.198,0.0,0.0969,0.285,151.974
Dua Lipa,Physical,0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967
Maroon 5,Visions,0.594,0.762,-5.457,0.0581,0.0536,0.0,0.127,0.574,154.791
Katy Perry,Resilient,0.639,0.784,-4.905,0.0562,0.0435,0.0,0.111,0.321,126.946
Sam Smith,Make It To Me,0.456,0.379,-8.573,0.0685,0.63,3.1e-06,0.0983,0.225,149.967
Beyonce,Suga Mama,0.682,0.939,-4.054,0.284,0.226,0.000315,0.346,0.615,93.81
Mark Eliyahu,Nigun Nava,0.54,0.836,-4.006,0.044,0.737,0.688,0.366,0.816,88.646
Post Malone,Wasting Angels,0.583,0.43,-7.748,0.0353,0.801,0.0,0.0867,0.367,84.967
Post Malone,Hateful,0.535,0.724,-5.498,0.0673,0.0281,0.0,0.0782,0.179,147.083
Billie Eilish,bad guy,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128
Evgeny Grinko,G-Dur,0.122,0.169,-14.114,0.0433,0.954,0.742,0.123,0.0617,178.758
Evgeny Grinko,Serenade,0.133,0.312,-9.711,0.0325,0.87,0.389,0.286,0.246,200.62
Beyonce,Superpower,0.525,0.334,-11.54,0.0686,0.641,0.0,0.114,0.185,80.307
Billy Esteban,Game of Butterflies,0.143,0.0948,-19.722,0.039,0.966,0.381,0.0588,0.0776,58.984
Alan Walker,Different World,0.602,0.752,-4.931,0.0361,0.0638,0.0,0.13,0.331,130.037
Rihanna,Drunk On Love,0.655,0.873,-3.609,0.0579,0.0748,0.000454,0.401,0.153,100.391
Sam Smith,Scars,0.567,0.399,-10.385,0.0981,0.759,0.000153,0.119,0.431,77.389
Rihanna,Sell Me Candy,0.653,0.909,-5.059,0.196,0.142,0.0,0.0365,0.72,85.318
Post Malone,Take What You Want,0.499,0.8,-2.665,0.0502,0.0906,0.0,0.147,0.272,139.919
Billy Esteban,World,0.751,0.825,-3.56,0.049,0.00593,0.873,0.0444,0.392,118.995
Ava Max,Salt,0.693,0.835,-3.242,0.0624,0.131,0.0,0.073,0.744,128.052
Billy Esteban,Rain Girl,0.633,0.387,-12.7,0.0359,0.664,0.417,0.483,0.0557,119.959
Maroon 5,Bet My Heart,0.759,0.604,-6.663,0.051,0.141,0.0,0.149,0.418,121.096
Post Malone,Reputation,0.314,0.439,-5.726,0.0311,0.671,0.0,0.181,0.364,180.119
Maroon 5,Convince Me,0.378,0.677,-6.998,0.0475,0.079,9.38e-05,0.102,0.481,199.656
Ava Max,Last Night On Earth,0.693,0.832,-3.294,0.036,0.00579,5.52e-05,0.0711,0.609,99.991
Post Malone,Wow.,0.829,0.539,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96
Maroon 5,Girls Like You,0.851,0.541,-6.825,0.0505,0.568,0.0,0.13,0.448,124.959
Charlie Puth,Suffer,0.58,0.443,-7.323,0.0498,0.75,0.0,0.0742,0.576,175.938
Billy Esteban,Five Guitars,0.368,0.691,-9.885,0.0364,0.595,0.884,0.104,0.737,92.049
Mustafa Ceceli,Anmam,0.703,0.861,-4.4,0.0409,0.0142,4.26e-05,0.144,0.815,127.996
Houssem Amari,Por Ti,0.741,0.439,-10.189,0.0424,0.432,0.000384,0.113,0.381,99.989
Nuri Serinlendirici,Son Defe Gel,0.741,0.877,-6.087,0.0973,0.0292,0.000302,0.464,0.728,89.966
Beyonce,Irreplaceable,0.447,0.694,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868
Katy Perry,Unconditionally,0.432,0.725,-4.862,0.0431,0.00273,0.0,0.208,0.353,128.902
Jacob's Piano,A Letter,0.217,0.132,-19.589,0.0439,0.996,0.677,0.175,0.239,81.181
Rihanna,Music Of The Sun,0.535,0.643,-8.182,0.155,0.112,0.0,0.281,0.632,171.884
Halsey,Strange Love,0.605,0.849,-4.761,0.043,0.00212,0.000372,0.192,0.599,89.993
Charlie Puth,Done for Me,0.856,0.634,-3.692,0.0741,0.191,0.0,0.0688,0.682,112.009
Beyonce,CUFF IT,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
Post Malone,Same Bitches,0.731,0.774,-5.273,0.0555,0.434,3.34e-06,0.114,0.219,100.005
Maroon 5,Unkiss Me,0.532,0.599,-6.543,0.0333,0.00784,0.0,0.14,0.113,130.019
Maroon 5,No Curtain Call,0.519,0.804,-4.976,0.0268,0.00117,0.0,0.106,0.348,168.059
Maroon 5,Goodnight Goodnight,0.587,0.701,-3.77,0.0258,0.0358,0.0,0.183,0.273,94.981
Billy Esteban,Kolkota Taxi,0.647,0.796,-7.304,0.0284,0.0555,0.878,0.367,0.376,101.995
Mark Eliyahu,Chant to the Observer in Sunset,0.225,0.165,-9.904,0.0546,0.979,0.738,0.545,0.0683,76.283
Nuri Serinlendirici,Cicekler,0.531,0.733,-8.016,0.0529,0.426,0.000199,0.153,0.576,169.99
Hauser,La Isla Bonita,0.529,0.806,-6.413,0.0391,0.0234,3.78e-05,0.0847,0.739,99.971
Beyonce,Ego,0.623,0.389,-7.816,0.241,0.155,0.0,0.163,0.489,79.454
Mark Eliyahu,Shur Ve Habit,0.508,0.628,-7.5,0.0508,0.58,0.0396,0.0931,0.511,144.021
Dharia,August Diaries,0.711,0.701,-4.424,0.237,0.474,0.0015,0.115,0.541,97.975
Katy Perry,By The Grace Of God,0.444,0.367,-7.987,0.0302,0.688,0.0,0.11,0.217,162.785
Rihanna,Right Now,0.668,0.64,-5.208,0.0888,0.049,0.0,0.0675,0.259,130.004
Charlie Puth,My Gospel,0.7,0.654,-7.126,0.297,0.27,0.0,0.0768,0.494,112.039
Maroon 5,Payphone,0.739,0.756,-4.828,0.0394,0.0136,0.0,0.37,0.523,110.028
Beyonce,Check On It,0.705,0.796,-6.845,0.267,0.0708,0.0,0.388,0.864,166.042
Evgeny Grinko,Gull Song,0.153,0.191,-22.37,0.0451,0.502,0.917,0.0826,0.0325,81.041
Houssem Amari,El Bandido,0.74,0.558,-8.273,0.115,0.0807,0.823,0.0934,0.452,93.994
Evgeny Grinko,Valse Cm,0.485,0.314,-13.473,0.0367,0.928,0.517,0.0939,0.131,105.822
Mark Eliyahu,Saba,0.351,0.185,-13.756,0.0422,0.267,0.962,0.0956,0.0334,96.963
Maroon 5,Little Of Your Time,0.686,0.963,-2.532,0.0801,0.0658,0.0,0.104,0.965,143.931
Beyonce,Haunted,0.313,0.533,-9.416,0.166,0.103,0.00635,0.507,0.311,66.93
Halsey,Easier than Lying,0.474,0.869,-4.067,0.17,8.36e-05,0.46,0.123,0.33,181.992
Mark Eliyahu,Nostalgic,0.216,0.244,-15.213,0.032,0.883,0.919,0.106,0.0998,90.614
Post Malone,Goodbyes,0.548,0.653,-3.875,0.081,0.456,0.0,0.103,0.163,150.068
Maroon 5,Plastic Rose,0.666,0.736,-5.363,0.137,0.00539,0.0,0.0613,0.477,110.389
Post Malone,White Iverson,0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.098
Mark Eliyahu,The Magnificent Nine,0.543,0.854,-5.237,0.0752,0.374,0.674,0.222,0.475,89.935
Charlie Puth,Somebody Told Me,0.592,0.839,-4.944,0.0564,0.101,0.0,0.0528,0.457,168.501
Katy Perry,Tsunami,0.586,0.561,-6.594,0.0817,0.0324,0.0,0.107,0.446,161.906
Katy Perry,Firework,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071
Gazapizm,Dayan,0.819,0.669,-8.213,0.234,0.0155,4.66e-05,0.285,0.489,120.009
Ava Max,Naked,0.683,0.641,-4.092,0.0329,0.0582,0.0,0.149,0.695,111.955
Katy Perry,Bigger Than Me,0.701,0.674,-5.906,0.0405,0.0237,0.0,0.141,0.258,110.039
Dharia,Sugar & Brownies,0.792,0.719,-5.123,0.257,0.168,0.0,0.0276,0.472,100.02
Evgeny Grinko,Poirot,0.331,0.0501,-21.278,0.0464,0.993,0.925,0.107,0.11,139.903
Rihanna,Shut Up And Drive,0.735,0.826,-4.902,0.0349,0.00101,0.129,0.197,0.74,132.964
Halsey,You should be sad,0.591,0.585,-6.35,0.0277,0.143,0.0,0.109,0.324,110.94
Halsey,Hurricane,0.586,0.83,-5.375,0.0416,0.00823,0.0028,0.348,0.486,120.017
Mark Eliyahu,Do You Remember,0.635,0.49,-7.022,0.0429,0.762,0.0,0.0774,0.213,140.036
Alan Walker,World We Used To Know,0.48,0.692,-5.324,0.0582,0.176,0.00011,0.221,0.465,85.343
Beyonce,Partition,0.418,0.441,-11.522,0.283,0.029,0.0707,0.306,0.172,175.928
Jacob's Piano,O Holy Night,0.34,0.0317,-24.906,0.0418,0.983,0.883,0.114,0.0641,100.346
Halsey,Hopeless,0.444,0.47,-6.897,0.0611,0.617,0.0,0.0861,0.164,89.945
Maroon 5,Sex and Candy,0.805,0.38,-9.713,0.0352,0.322,1.33e-05,0.0629,0.653,133.926
Beyonce,Rather Die Young,0.628,0.666,-6.626,0.111,0.158,0.00258,0.177,0.45,72.032
Rihanna,Hard,0.31,0.746,-3.599,0.111,0.0121,0.0,0.649,0.163,182.032
Mark Eliyahu,LSD,0.589,0.974,-4.038,0.0394,0.000989,0.772,0.163,0.16,141.999
Evgeny Grinko,Once Upon a Time,0.306,0.285,-17.079,0.0353,0.937,0.906,0.0792,0.109,132.09
Billie Eilish,bury a friend,0.905,0.389,-14.505,0.332,0.74,0.162,0.106,0.196,120.046
Dua Lipa,Fever,0.868,0.693,-7.052,0.181,0.0597,0.00399,0.106,0.396,114.999
Katy Perry,Part Of Me,0.667,0.922,-4.645,0.0353,0.000354,0.0,0.0867,0.761,130.01
Evgeny Grinko,And I Blew out the Candles,0.445,0.112,-22.277,0.042,0.989,0.91,0.0999,0.285,125.139
Mustafa Ceceli,Pervane,0.684,0.619,-6.509,0.0396,0.399,0.0,0.133,0.742,122.044
Rihanna,Cold Case Love,0.437,0.443,-7.767,0.0339,0.0291,0.000325,0.111,0.121,90.135
Jacob's Piano,Petrichor,0.392,0.0954,-17.757,0.0402,0.924,0.921,0.0921,0.0995,108.907
Hiss,Sevdim,0.635,0.777,-6.863,0.0301,0.00689,0.0414,0.121,0.504,105.009
Rihanna,We All Want Love,0.53,0.575,-6.71,0.0317,0.00244,0.000572,0.277,0.308,147.961
Post Malone,Spoil My Night,0.672,0.717,-2.714,0.034,0.341,2.4e-05,0.106,0.225,160.981
Jacob's Piano,Primavera,0.325,0.213,-14.45,0.0347,0.973,0.921,0.111,0.127,135.9
Billy Esteban,Light Of The Moon,0.72,0.513,-8.399,0.0356,0.749,0.944,0.117,0.821,150.042
Rihanna,A Million Miles Away,0.566,0.363,-7.259,0.0285,0.482,0.0,0.292,0.0609,123.864
Alan Walker,Drone Wars,0.426,0.879,-5.687,0.0422,0.00219,0.308,0.139,0.058,128.894
Billy Esteban,Si Zaljubiv,0.712,0.808,-7.07,0.0456,0.00278,0.844,0.0882,0.105,115.997
Hiss,Karma,0.738,0.422,-11.035,0.0432,0.562,0.00159,0.114,0.261,100.02
Ava Max,Weapons,0.506,0.846,-3.705,0.0497,0.0189,0.0,0.0835,0.268,169.813
Halsey,People disappear here,0.603,0.504,-8.705,0.0332,0.0322,0.0155,0.105,0.214,145.952
Jacob's Piano,Dreams,0.4,0.0411,-24.598,0.0413,0.983,0.91,0.0921,0.0646,106.578
Halsey,Trouble,0.684,0.445,-6.795,0.0328,0.805,7.24e-06,0.178,0.428,120.073
Rihanna,Russian Roulette,0.48,0.486,-5.754,0.0447,0.046,0.0,0.107,0.265,80.051
Evgeny Grinko,Carousel,0.257,0.397,-15.5,0.0458,0.93,0.59,0.0961,0.14,171.952
Beyonce,Crazy In Love,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165
Mark Eliyahu,Slow Voltage,0.623,0.635,-14.109,0.0469,0.00917,0.741,0.115,0.159,95.003
Beyonce,Pretty Hurts,0.512,0.624,-6.761,0.0509,0.00305,0.000172,0.346,0.2,129.932
Houssem Amari,Safir,0.726,0.491,-10.228,0.254,0.937,0.567,0.144,0.448,97.003
Rauf & Faik,Memories,0.766,0.636,-6.676,0.0625,0.101,0.166,0.0893,0.163,97.994
Maroon 5,Get Back In My Life,0.756,0.925,-3.841,0.0273,0.000277,0.0,0.137,0.908,111.96
Sam Smith,One Last Song,0.672,0.53,-6.43,0.0284,0.367,0.0,0.321,0.485,103.326
Mark Eliyahu,Longings,0.564,0.486,-8.578,0.0323,0.226,0.783,0.124,0.55,126.068
Katy Perry,Hey Hey Hey,0.653,0.703,-5.632,0.0982,0.0516,0.0,0.0521,0.488,134.064
Katy Perry,Chained To The Rhythm,0.562,0.8,-5.404,0.112,0.0814,0.0,0.199,0.471,95.029
Billie Eilish,come out and play,0.64,0.321,-14.604,0.0931,0.693,0.0307,0.114,0.177,145.045
Katy Perry,Legendary Lover,0.623,0.836,-4.788,0.0846,0.0224,0.0,0.078,0.386,126.025
Beyonce,Sweet Dreams,0.694,0.825,-5.986,0.111,0.0895,1.86e-05,0.0618,0.788,121.949
Katy Perry,Bon Appetit,0.8,0.795,-5.835,0.0626,0.131,9.02e-05,0.221,0.528,106.031
Rihanna,What Now,0.402,0.696,-4.799,0.0448,0.0476,0.0,0.628,0.227,180.158
Rihanna,Phresh Out The Runway,0.691,0.866,-5.831,0.0729,0.000202,0.0,0.294,0.96,154.117
Billy Esteban,Lunar,0.794,0.722,-9.88,0.0429,0.128,0.825,0.1,0.212,117.996
Ava Max,Turn Off The Lights,0.846,0.849,-4.419,0.0899,0.0738,0.000345,0.259,0.804,120.008
Maroon 5,Not Falling Apart,0.758,0.714,-5.027,0.0382,0.00788,1.34e-06,0.0636,0.403,119.971
Billie Eilish,Billie Bossa Nova,0.895,0.389,-11.036,0.11,0.222,0.0346,0.105,0.549,110.023
Beyonce,Yonce,0.675,0.646,-12.932,0.462,0.0751,0.0,0.315,0.42,88.063
Jacob's Piano,Porz Goret,0.221,0.227,-19.531,0.0385,0.949,0.882,0.109,0.106,154.09
Charlie Puth,Left Right Left,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Katy Perry,Pendulum,0.621,0.788,-5.642,0.0436,0.00303,0.000229,0.0311,0.607,94.004
Evgeny Grinko,It Smells Like Chamomile Tea,0.722,0.0462,-19.461,0.0606,0.985,0.934,0.0637,0.182,69.974
Katy Perry,Roar,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003
Rihanna,Do Ya Thang,0.519,0.853,-4.679,0.0369,0.000924,1.43e-05,0.101,0.697,174.085
Ava Max,Torn,0.665,0.831,-4.472,0.0437,0.111,1.53e-06,0.0596,0.696,125.057
Mark Eliyahu,Peyote,0.691,0.974,-4.132,0.0626,1.58e-05,0.82,0.569,0.804,147.975
Gazapizm,Kafandaki Silah,0.701,0.881,-3.651,0.254,0.327,0.0,0.172,0.584,90.038
Hauser,Cherry Pink and Apple Blossom White,0.553,0.59,-5.743,0.0273,0.494,0.897,0.0592,0.656,109.313
Evgeny Grinko,Lullaby for Yasha,0.351,0.0313,-23.658,0.037,0.98,0.945,0.145,0.271,111.687
Halsey,Closer,0.426,0.523,-10.824,0.188,0.914,4.77e-05,0.969,0.332,34.698
Billy Esteban,Night Experience,0.581,0.798,-9.612,0.0308,0.163,0.923,0.135,0.689,159.971
Billy Esteban,Princess of Persia,0.744,0.636,-6.923,0.0341,0.00954,0.789,0.107,0.558,124.012
Charlie Puth,Nothing But Trouble,0.682,0.806,-5.298,0.0395,0.011,0.0527,0.564,0.698,122.984
Maroon 5,Seasons,0.638,0.504,-8.335,0.0578,0.509,2.18e-05,0.103,0.281,140.204
Nuri Serinlendirici,Biri Var,0.612,0.443,-11.525,0.128,0.592,0.000108,0.152,0.324,86.135
Beyonce,Countdown,0.665,0.787,-5.73,0.151,0.31,0.0,0.219,0.699,167.351
Halsey,Colors,0.512,0.812,-4.809,0.0617,0.0534,0.0,0.092,0.521,100.02
Mark Eliyahu,Open Sky,0.571,0.456,-7.578,0.0291,0.227,0.195,0.154,0.347,126.085
Rihanna,Question Existing,0.255,0.656,-5.783,0.0769,0.144,0.0,0.365,0.276,178.356
Dua Lipa,Blow Your Mind,0.654,0.796,-4.761,0.122,0.0188,0.0,0.0948,0.491,108.854
Rihanna,Sex With Me,0.58,0.532,-5.668,0.0424,0.294,0.0,0.0948,0.39,112.049
Evgeny Grinko,Velvet Elephant,0.235,0.0491,-27.95,0.0334,0.985,0.904,0.132,0.105,186.712
Nuri Serinlendirici,Vagzali Sedasi,0.628,0.809,-6.012,0.0515,0.371,6.72e-06,0.121,0.7,111.793
Sam Smith,Burning,0.631,0.224,-9.383,0.0417,0.885,0.0,0.282,0.365,86.936
Maroon 5,Shoot Love,0.595,0.797,-5.828,0.0352,0.00259,0.0,0.11,0.425,135.0
Hauser,Quando Quando Quando,0.506,0.602,-7.712,0.0342,0.373,0.225,0.138,0.596,101.914
Sam Smith,Nothing Left For You,0.499,0.3,-8.631,0.0433,0.616,1.69e-06,0.128,0.212,126.724
Mark Eliyahu,Sunshine,0.629,0.937,-5.457,0.0364,0.042,0.928,0.0897,0.697,99.993
Beyonce,Hello,0.33,0.769,-5.755,0.17,0.206,1.54e-06,0.143,0.416,97.515
Halsey,Nightmare,0.611,0.622,-5.075,0.0734,0.0188,0.0,0.359,0.538,146.11
Sam Smith,Who We Love,0.568,0.289,-8.973,0.0395,0.858,0.0,0.0943,0.338,140.122
Mustafa Ceceli,Sevdim Seni Mabuduma,0.596,0.709,-4.822,0.135,0.2,0.0,0.269,0.513,112.908
Evgeny Grinko,Rumba,0.718,0.573,-9.816,0.0392,0.0594,0.897,0.0951,0.612,139.92
Billie Eilish,Lost Cause,0.671,0.336,-8.494,0.241,0.705,0.00751,0.0577,0.518,75.051
Jacob's Piano,Grieving Times,0.257,0.0234,-26.611,0.0397,0.988,0.639,0.0957,0.0849,182.847
Alan Walker,On My Way,0.509,0.689,-4.929,0.102,0.0209,0.0,0.301,0.297,170.087
Billy Esteban,Pustiya,0.583,0.964,-2.885,0.0354,0.0414,0.856,0.118,0.494,120.006
Post Malone,Paranoid,0.625,0.536,-5.428,0.0776,0.038,2.31e-05,0.167,0.253,159.914
Ava Max,Cold As Ice,0.455,0.77,-4.433,0.0574,0.104,0.000531,0.178,0.302,118.008
Rihanna,Raining Men,0.675,0.805,-4.841,0.153,0.0161,0.0,0.346,0.841,79.015
Billy Esteban,Song For Monica,0.618,0.92,-4.706,0.0406,0.0327,0.738,0.124,0.578,128.006
Rihanna,Say It,0.575,0.588,-6.659,0.0515,0.0867,0.0,0.344,0.401,156.797
Alan Walker,Do It All for You,0.684,0.657,-5.483,0.0433,0.126,1.26e-06,0.109,0.415,82.007
Beyonce,Bootylicious,0.542,0.878,-8.096,0.297,0.0064,0.0,0.859,0.438,103.293
Hauser,Senorita,0.621,0.592,-7.389,0.0269,0.471,0.697,0.0963,0.48,116.983
Maroon 5,Out Of Goodbyes With Lady Antebellum,0.656,0.526,-8.46,0.0245,0.137,9.84e-05,0.108,0.37,103.919
Hauser,Sway,0.451,0.716,-4.32,0.0366,0.517,0.614,0.0535,0.499,126.005
Billy Esteban,Call to the Divine,0.232,0.0506,-26.992,0.0362,0.988,0.974,0.44,0.0386,79.982
Katy Perry,Teenage Dream,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011
Billy Esteban,Road to Istanbul,0.557,0.752,-7.498,0.0392,0.177,0.932,0.631,0.596,92.972
Beyonce,Formation,0.896,0.621,-6.857,0.237,0.00532,0.0,0.196,0.818,121.966
Mark Eliyahu,Mahur,0.398,0.875,-5.088,0.0571,0.15,0.254,0.0857,0.661,99.892
Katy Perry,Walking On Air,0.631,0.908,-4.842,0.0391,0.00144,0.0,0.23,0.821,128.027
Rihanna,Red Lipstick,0.517,0.695,-7.659,0.118,0.0649,0.0,0.649,0.309,139.95
Katy Perry,Circle The Drain,0.7,0.775,-3.94,0.0809,0.00735,0.0,0.082,0.751,134.932
Rihanna,Disturbia,0.707,0.813,-4.515,0.0571,0.0863,0.0,0.168,0.722,124.921
Hiss,Unuduram,0.68,0.679,-8.008,0.0465,0.39,0.0,0.185,0.718,154.975
Rihanna,Farewell,0.516,0.857,-4.559,0.111,0.0805,0.0,0.153,0.506,80.004
Charlie Puth,Does It Feel,0.61,0.86,-4.6,0.127,0.177,0.0,0.155,0.549,98.995
Alan Walker,Man On The Moon,0.668,0.816,-5.648,0.0367,0.0557,1.02e-06,0.197,0.5,129.971
Mark Eliyahu,Ballad For The Weeping Spring,0.42,0.643,-5.268,0.0303,0.738,0.00493,0.36,0.569,88.078
Beyonce,Scared of Lonely,0.534,0.575,-6.706,0.0519,0.0546,0.0,0.131,0.205,86.961
Halsey,Lie,0.361,0.468,-5.276,0.0343,0.131,9.78e-06,0.175,0.04,150.572
Sam Smith,Six Shots,0.578,0.415,-8.679,0.0545,0.0762,4.4e-06,0.363,0.376,88.125
Rihanna,Jump,0.629,0.819,-6.181,0.25,0.229,0.00706,0.169,0.468,162.048
Jacob's Piano,May be,0.451,0.0767,-25.218,0.0439,0.995,0.866,0.128,0.203,128.019
Billie Eilish,Everybody Dies,0.275,0.155,-17.285,0.0674,0.928,0.176,0.0888,0.0588,65.136
Billy Esteban,Oro,0.678,0.71,-7.452,0.0262,0.159,0.843,0.138,0.575,104.983
Beyonce,Sorry,0.775,0.598,-7.274,0.0535,0.00175,4.44e-06,0.253,0.356,129.988
Evgeny Grinko,"Time, Backward!",0.183,0.17,-15.653,0.0408,0.979,0.463,0.285,0.174,71.107
Ava Max,Kings & Queens,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857
Dua Lipa,Hallucinate,0.627,0.69,-5.396,0.139,0.033,0.0,0.0742,0.627,122.053
Rihanna,ROCKSTAR 101,0.343,0.65,-4.624,0.0909,0.0299,0.0,0.646,0.315,170.697
Sam Smith,Palace,0.345,0.193,-10.236,0.0328,0.74,4.2e-06,0.117,0.268,77.547
Mark Eliyahu,Drone Piris,0.134,0.275,-23.614,0.0603,0.703,0.908,0.109,0.0398,75.364
Sam Smith,Hurting Interlude,0.447,0.484,-20.303,0.325,0.987,0.806,0.186,0.932,134.258
Post Malone,Hit This Hard,0.628,0.553,-8.967,0.0472,0.294,0.00551,0.0825,0.367,140.026
Jacob's Piano,Rising,0.216,0.0314,-24.191,0.0402,0.969,0.944,0.0911,0.0409,176.437
Katy Perry,Self Inflicted,0.563,0.92,-3.075,0.0544,0.000326,0.0,0.0742,0.448,128.287
Maroon 5,Wake Up Call,0.632,0.949,-2.671,0.0593,0.0302,0.0,0.0871,0.969,164.118
Gazapizm,Yol,0.731,0.744,-8.608,0.184,0.0324,0.000102,0.0969,0.283,130.182
Evgeny Grinko,Dusty Room,0.177,0.106,-16.123,0.0379,0.972,0.909,0.0977,0.0383,79.645
Nuri Serinlendirici,Vay Aman Has,0.724,0.942,-5.199,0.0707,0.0176,0.00691,0.123,0.788,125.036
Rihanna,Pour It Up,0.785,0.478,-8.735,0.0419,0.0254,0.0,0.0901,0.39,134.002
Sam Smith,So Serious,0.568,0.519,-6.232,0.041,0.312,0.0,0.0858,0.38,91.892
Beyonce,Forward,0.387,0.133,-15.633,0.0474,0.947,0.0591,0.107,0.0498,124.397
Rihanna,Half Of Me,0.391,0.574,-5.912,0.0397,0.214,0.0,0.36,0.308,147.435
Jacob's Piano,Nuvole Bianche,0.35,0.24,-18.823,0.0607,0.969,0.934,0.0949,0.0454,128.851
Post Malone,I Fall Apart,0.556,0.538,-5.408,0.0382,0.0689,0.0,0.196,0.291,143.95
Halsey,Good Mourning,0.629,0.53,-9.943,0.0556,0.713,0.0274,0.412,0.78,99.806
Katy Perry,Birthday,0.719,0.674,-5.122,0.0681,0.0879,3.75e-06,0.112,0.843,125.98
Nuri Serinlendirici,Darixdim,0.425,0.883,-7.525,0.109,0.0608,0.000516,0.168,0.734,169.981
Gazapizm,Borandan,0.61,0.859,-3.319,0.259,0.0558,0.0,0.143,0.931,90.979
Billie Eilish,my future,0.444,0.309,-10.956,0.062,0.795,0.132,0.352,0.0875,104.745
Maroon 5,Secret,0.42,0.438,-8.402,0.051,0.256,0.000117,0.0963,0.149,87.986
Dua Lipa,New Love,0.58,0.621,-8.625,0.0448,0.15,4.07e-06,0.0869,0.343,90.315
Gazapizm,Kalk Yataktan,0.756,0.881,-5.745,0.093,0.0194,2.41e-05,0.263,0.526,136.05
